Seed_num,epsilon,SP_maj,SP_min,SPD,EO_maj,EO_min,EOD,CSP_X0_maj,CSP_X0_min,CSD_X0,CSP_X1_maj,CSP_X1_min,CSD_X1
0,16,0.9352575666466225,0.6704250648573139,0.2648325017893086,1.0,0.9126596033686498,0.08734039663135018,0.0,0.0,0.0,1.0,1.0,0.0
1,16,0.9341870160810006,0.6594801531331855,0.2747068629478151,1.0,0.9074022733573607,0.09259772664263932,0.0,0.0,0.0,1.0,1.0,0.0
2,16,0.933532041728763,0.6696527428283845,0.26387929890037853,1.0,0.9102476398960186,0.08975236010398135,0.0,0.0,0.0,1.0,1.0,0.0
3,16,0.9347717510738188,0.6664330763840224,0.26833867468979644,1.0,0.9071954210956664,0.09280457890433358,0.0,0.0,0.0,1.0,1.0,0.0
4,16,0.932940824269035,0.6664996492634533,0.26644117500558173,1.0,0.9086065573770492,0.0913934426229508,0.0,0.0,0.0,1.0,1.0,0.0
5,16,0.9325786415547986,0.6661010181672988,0.2664776233874998,1.0,0.9053045719712386,0.09469542802876141,0.0,0.0,0.0,1.0,1.0,0.0
6,16,0.9335723533512599,0.6611105532684004,0.2724618000828595,1.0,0.8998223315566489,0.10017766844335108,0.0,0.0,0.0,1.0,1.0,0.0
7,16,0.9337636544190665,0.6629405840886203,0.27082307033044617,1.0,0.9076244312698194,0.0923755687301806,0.0,0.0,0.0,1.0,1.0,0.0
8,16,0.935010060362173,0.663817097415507,0.27119296294666606,1.0,0.9086950605524561,0.09130493944754392,0.0,0.0,0.0,1.0,1.0,0.0
9,16,0.9344652963955913,0.6658273743579414,0.2686379220376499,1.0,0.9091034103410341,0.09089658965896585,0.0,0.0,0.0,1.0,1.0,0.0
10,16,0.9314697926059513,0.6672322587084539,0.2642375338974974,1.0,0.9085349279695569,0.09146507203044307,0.0,0.0,0.0,1.0,1.0,0.0
11,16,0.9349724034119418,0.6585949177877429,0.27637748562419884,1.0,0.8999183006535948,0.1000816993464052,0.0,0.0,0.0,1.0,1.0,0.0
12,16,0.9361893349310965,0.6714400160224314,0.26474931890866504,1.0,0.9131145308457034,0.08688546915429662,0.0,0.0,0.0,1.0,1.0,0.0
13,16,0.932475884244373,0.67078025477707,0.26169562946730296,1.0,0.9105647122399352,0.08943528776006482,0.0,0.0,0.0,1.0,1.0,0.0
14,16,0.9314580031695721,0.6677100161550888,0.2637479870144832,1.0,0.9086287441604837,0.09137125583951633,0.0,0.0,0.0,1.0,1.0,0.0
15,16,0.9306456441472907,0.6632929151217557,0.267352729025535,1.0,0.9072094298245614,0.09279057017543857,0.0,0.0,0.0,1.0,1.0,0.0
16,16,0.9348827890202365,0.6603114394090637,0.2745713496111728,1.0,0.9040590405904059,0.09594095940959413,0.0,0.0,0.0,1.0,1.0,0.0
17,16,0.9289269360939677,0.67209162145871,0.25683531463525766,1.0,0.9110717690317309,0.08892823096826907,0.0,0.0,0.0,1.0,1.0,0.0
18,16,0.932247168686668,0.6686128447755184,0.2636343239111496,1.0,0.9091157952367916,0.09088420476320835,0.0,0.0,0.0,1.0,1.0,0.0
19,16,0.93189253494597,0.6641783516594371,0.26771418328653296,1.0,0.9062629043358569,0.09373709566414312,0.0,0.0,0.0,1.0,1.0,0.0
0,8,0.9352575666466225,0.6704250648573139,0.2648325017893086,1.0,0.9126596033686498,0.08734039663135018,0.0,0.0,0.0,1.0,1.0,0.0
1,8,0.9341870160810006,0.6594801531331855,0.2747068629478151,1.0,0.9074022733573607,0.09259772664263932,0.0,0.0,0.0,1.0,1.0,0.0
2,8,0.933532041728763,0.6696527428283845,0.26387929890037853,1.0,0.9102476398960186,0.08975236010398135,0.0,0.0,0.0,1.0,1.0,0.0
3,8,0.9347717510738188,0.6664330763840224,0.26833867468979644,1.0,0.9071954210956664,0.09280457890433358,0.0,0.0,0.0,1.0,1.0,0.0
4,8,0.932940824269035,0.6664996492634533,0.26644117500558173,1.0,0.9086065573770492,0.0913934426229508,0.0,0.0,0.0,1.0,1.0,0.0
5,8,0.9325786415547986,0.6661010181672988,0.2664776233874998,1.0,0.9053045719712386,0.09469542802876141,0.0,0.0,0.0,1.0,1.0,0.0
6,8,0.9335723533512599,0.6611105532684004,0.2724618000828595,1.0,0.8998223315566489,0.10017766844335108,0.0,0.0,0.0,1.0,1.0,0.0
7,8,0.9337636544190665,0.6629405840886203,0.27082307033044617,1.0,0.9076244312698194,0.0923755687301806,0.0,0.0,0.0,1.0,1.0,0.0
8,8,0.935010060362173,0.663817097415507,0.27119296294666606,1.0,0.9086950605524561,0.09130493944754392,0.0,0.0,0.0,1.0,1.0,0.0
9,8,0.9344652963955913,0.6658273743579414,0.2686379220376499,1.0,0.9091034103410341,0.09089658965896585,0.0,0.0,0.0,1.0,1.0,0.0
10,8,0.9314697926059513,0.6672322587084539,0.2642375338974974,1.0,0.9085349279695569,0.09146507203044307,0.0,0.0,0.0,1.0,1.0,0.0
11,8,0.9349724034119418,0.6585949177877429,0.27637748562419884,1.0,0.8999183006535948,0.1000816993464052,0.0,0.0,0.0,1.0,1.0,0.0
12,8,0.9361893349310965,0.6714400160224314,0.26474931890866504,1.0,0.9131145308457034,0.08688546915429662,0.0,0.0,0.0,1.0,1.0,0.0
13,8,0.932475884244373,0.67078025477707,0.26169562946730296,1.0,0.9105647122399352,0.08943528776006482,0.0,0.0,0.0,1.0,1.0,0.0
14,8,0.9314580031695721,0.6677100161550888,0.2637479870144832,1.0,0.9086287441604837,0.09137125583951633,0.0,0.0,0.0,1.0,1.0,0.0
15,8,0.9306456441472907,0.6632929151217557,0.267352729025535,1.0,0.9072094298245614,0.09279057017543857,0.0,0.0,0.0,1.0,1.0,0.0
16,8,0.9348827890202365,0.6603114394090637,0.2745713496111728,1.0,0.9040590405904059,0.09594095940959413,0.0,0.0,0.0,1.0,1.0,0.0
